Datetime,Thrust_Value
01.06.2019 08:02,2938.5435
01.06.2019 08:02,2433.7435
01.06.2019 08:02,2144.6435
01.06.2019 08:02,2160.6435
01.06.2019 08:02,2838.1435
01.06.2019 08:02,3796.2435
01.06.2019 08:02,4545.3435
01.06.2019 08:02,4958.4435
01.06.2019 08:02,4958.1435
01.06.2019 08:02,4958.1435
01.06.2019 08:02,4959.1435
01.06.2019 08:02,4050.4435
01.06.2019 08:02,2999.5435
01.06.2019 08:02,2372.5435
01.06.2019 08:02,1845.6435
01.06.2019 08:03,1538.9435
01.06.2019 08:03,1693.1435
01.06.2019 08:03,2319.1435
01.06.2019 08:03,3315.1435
01.06.2019 08:03,4047.2435
01.06.2019 08:03,4955.3435
01.06.2019 08:03,4958.5435
01.06.2019 08:03,4958.6435
01.06.2019 08:03,4959.1435
01.06.2019 08:03,4203.0435
01.06.2019 08:03,3335.1435
01.06.2019 08:03,2686.5435
01.06.2019 08:03,2173.5435
01.06.2019 08:03,1942.0435
01.06.2019 08:03,2436.9435
01.06.2019 08:03,3526.6435
01.06.2019 08:03,4170.9435
01.06.2019 08:03,4956.2435
01.06.2019 08:03,4958.6435
01.06.2019 08:03,4958.6435
01.06.2019 08:03,4958.7435
01.06.2019 08:03,4359.0435
01.06.2019 08:03,3114.6435
01.06.2019 08:03,2296.1435
01.06.2019 08:03,1852.7435
01.06.2019 08:03,1543.3435
01.06.2019 08:03,1636.8435
01.06.2019 08:03,2383.7435
01.06.2019 08:03,3547.7435
01.06.2019 08:03,4080.9435
01.06.2019 08:03,4957.8435
01.06.2019 08:03,4958.1435
01.06.2019 08:03,4958.6435
01.06.2019 08:03,4807.7435
01.06.2019 08:03,3610.2435
01.06.2019 08:03,2664.6435
01.06.2019 08:03,1965.5435
01.06.2019 08:03,1666.4435
01.06.2019 08:03,1768.6435
01.06.2019 08:03,2332.2435
01.06.2019 08:03,3308.7435
01.06.2019 08:03,4223.3435
01.06.2019 08:03,4955.1435
01.06.2019 08:03,4958.0435
01.06.2019 08:03,4958.2435
01.06.2019 08:03,4922.5435
01.06.2019 08:03,3689.3435
01.06.2019 08:03,2634.5435
01.06.2019 08:03,1899.9435
01.06.2019 08:03,1581.8435
01.06.2019 08:03,1478.2435
01.06.2019 08:03,1817.9435
01.06.2019 08:03,2630.4435
01.06.2019 08:03,3696.3435
01.06.2019 08:03,4520.0435
01.06.2019 08:03,4957.0435
01.06.2019 08:03,4958.1435
01.06.2019 08:03,4958.8435
01.06.2019 08:03,4958.0435
01.06.2019 08:03,3895.9435
01.06.2019 08:04,2908.4435
01.06.2019 08:04,2119.5435
01.06.2019 08:04,1774.5435
01.06.2019 08:04,1608.9435
01.06.2019 08:04,1808.1435
01.06.2019 08:04,2474.0435
01.06.2019 08:04,3417.1435
01.06.2019 08:04,4190.5435
01.06.2019 08:04,4895.4435
01.06.2019 08:04,4958.5435
01.06.2019 08:04,4955.8435
01.06.2019 08:04,4135.7435
01.06.2019 08:04,3451.3435
01.06.2019 08:04,2858.0435
01.06.2019 08:04,2441.3435
01.06.2019 08:04,2580.3435
01.06.2019 08:04,3433.4435
01.06.2019 08:04,4272.3435
01.06.2019 08:04,4954.4435
01.06.2019 08:04,4958.8435
01.06.2019 08:04,4958.6435
01.06.2019 08:04,4959.0435
01.06.2019 08:04,4502.4435
01.06.2019 08:04,3202.5435
01.06.2019 08:04,2152.5435
01.06.2019 08:04,1624.2435
01.06.2019 08:04,1258.4435
01.06.2019 08:04,1228.3435
01.06.2019 08:04,1668.2435
01.06.2019 08:04,2443.5435
01.06.2019 08:04,3325.0435
01.06.2019 08:04,4112.8435
01.06.2019 08:04,4877.3435
01.06.2019 08:04,4958.1435
01.06.2019 08:04,4958.5435
01.06.2019 08:04,4959.0435
01.06.2019 08:04,4304.0435
01.06.2019 08:04,3361.8435
01.06.2019 08:04,2606.5435
01.06.2019 08:04,2167.9435
01.06.2019 08:04,2213.2435
01.06.2019 08:04,2238.7435
01.06.2019 08:04,2569.7435
01.06.2019 08:04,3258.9435
01.06.2019 08:04,4109.9435
01.06.2019 08:04,4715.8435
01.06.2019 08:04,4957.8435
01.06.2019 08:04,4958.8435
01.06.2019 08:04,4959.0435
01.06.2019 08:04,4315.5435
01.06.2019 08:04,3435.2435
01.06.2019 08:04,2671.1435
